Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
362,,Sangli,"Vijay Nagar, Sangli - MPCB",86.00
363,,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",Insufficient data available in last 24 hours.
364,,,"Ratandeep Housing Society, Solapur - MPCB",118.00
365,,,"Solapur, Solapur - MPCB",Insufficient data available in last 24 hours.
366,,Thane,"Kasarvadavali, Thane - MPCB",77.00
367,,,"Upvan Fort, Thane - MPCB",169.00
368,,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",82.00
369,,,"Vithalwadi, Ulhasnagar - MPCB",97.00
370,,Virar,"Bolinj, Virar - MPCB",Insufficient data available in last 24 hours.
371,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB",Insufficient data available in last 24 hours.
372,,,"Manipur University, Imphal - Manipur PCB",Insufficient data available in last 24 hours.
373,Meghalaya ,Byrnihat ,"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",141.00
374,,Shillong,"JN Stadium, Shillong - Meghalaya PCB",Insufficient data available in last 24 hours.
375,,,"Lumpyngngad, Shillong - Meghalaya PCB",61.00
376,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",94.00
377,Nagaland,Kohima,"PWD Junction, Kohima - NPCB",57.00
378,Odisha,Angul,"Hakimapada, Angul - OSPCB",199.00
379,,Balasore,"Kalidaspur, Balasore - OSPCB",75.00
380,,Barbil,"Forest Office, Barbil - OSPCB",188.00
381,,Baripada,"Meher Colony, Baripada - OSPCB",94.00
382,,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",44.00
383,,,"Patia, Bhubaneswar - OSPCB",80.00
384,,Bileipada,"Tata Township, Bileipada - OSPCB",231.00
385,,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",115.00
386,,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",62.00
387,,Cuttack,"CDA Area, Cuttack - OSPCB",82.00
388,,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",129.00
389,,Nayagarh,"Dabuna, Nayagarh - OSPCB",198.00
390,,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",97.00
391,,Rourkela,"Fertilizer Township, Rourkela - OSPCB",81.00
392,,,"Raghunathpali, Rourkela - OSPCB",134.00
393,,,"Sector-2, Rourkela - OSPCB",63.00
394,,Suakati,"OMC Colony, Suakati - OSPCB",109.00
395,,Talcher,"Talcher Coalfields,Talcher - OSPCB",78.00
396,,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",86.00
